annotation_id,Song name,Article title,LLM,RK,MT,GB,Majority
55,"Long, Long, Long","Correction to: The role of manganese in CoMnOx catalysts for selective long-chain hydrocarbon production via Fischer-Tropsch synthesis (Nature Communications, (2024), 15, 1, (10294), 10.1038/s41467-024-54578-3)",No,No,No,No,No
56,Any Time at All,"An easy and fast method to estimate the number of frames with eggs, open brood, sealed brood, and bees in the brood chamber at the time of the inspection of a hive",No,No,No,No,No
57,With a Little Help from My Friends,"Tubule repair: with a little help from my ""unexpected"" friends",Yes,Yes,Yes,Yes,Yes
58,All Together Now,"Come Now, Let us Treason Together: Conversion and Revolutionary Consciousness in Luke 22:35-38 and the Hunger Games Trilogy",Yes,No,No,No,No
59,Norwegian Wood (This Bird Has Flown),"Biodiversity, community structure and ecosystem function on kelp and wood falls in the norwegian deep sea",No,No,No,No,No
60,I'm So Tired,"I'm so sick and tired of going to the clinic every month!: HIV, antiretroviral treatments and medical follow-up in Fiji",Yes,No,No,No,No
61,The Long and Winding Road,Long and winding road toward change in teachers' goals and orientations in the instructional lab,No,Yes,Yes,Yes,Yes
62,I Me Mine,"I, me, me, mine!: Autobiographical fiction and the ""I""",Yes,Yes,Yes,Yes,Yes
63,She's a Woman,Hot off the press: SGEM#416: She's always a woman-Query PE,Yes,No,No,No,No
64,The Inner Light,Suppression of diffraction stray light in the inner-occulted coronagraph,No,No,No,No,No
65,Little Child,"Modelling the interrelationships between potential risk factors and childhood Co-morbidity of Malaria, Anaemia, and stunting in children less than five years in Burundi",No,No,No,No,No
66,"Hello, Goodbye","You say ""yes,"" i say ""no,"" you say ""goodbye,"" and i say ""hello""",Yes,Yes,Yes,Yes,Yes
67,I've Just Seen a Face,"Doctor, I've felt a lump in the face while I was shaving",Yes,No,No,No,No
68,A Day in the Life,"Alterations in thyroids in poultry intoxicated with zinc etilenbis-ditiocarbamate, starting from a first day life. Histological and scanning observations",No,No,No,No,No
69,"Hello, Goodbye","You say, ""goodbye,"" and i Say, ""hello, Hello, Hello""",Yes,Yes,Yes,Yes,Yes
70,The Long and Winding Road,"The traceability chain in medical laboratories: A long and winding road, the example of HbA<inf>1c</inf>",No,Yes,Yes,Yes,Yes
71,Love Me Do,"Daisy, give me your answer do, I'm a half crazy, all for the love of you",Yes,No,No,No,No
72,Nowhere Man,The nowhere (wo)man: An example of the defensive use of emptiness in a patient with a schizoid disorder of the self,Yes,Yes,Yes,Yes,Yes
73,Little Child,Development and content validity of an application to assess 24-hour movement behaviors in 0-4-year-old children involving end-users and key stakeholders: the My Little Moves app,No,No,No,No,No
74,Cry Baby Cry,Infant cry: Maternal perception of 60 babies in the first three months of life,No,No,No,No,No
75,Ticket to Ride,Ticket to a bubble ride: Cargo sorting into exosomes and extracellular vesicles,Yes,Yes,Yes,Yes,Yes
76,No Reply,Reply: Cardiovascular prevention in diabetes mellitus: No magic remedies,No,No,No,No,No
77,With a Little Help from My Friends,Find a little help from my (microbial) friends,Yes,Yes,No,Yes,Yes
78,I Want You (She's So Heavy),"Four Artistic Journeys: When I Close My Eyes Everything Is So Damn Pretty (Can't Do the Thing You Want, Can't Do the Thing You Want, Can't Do the Thing You Want)",Yes,No,No,No,No
79,I Should Have Known Better,"If I'd known I was going to live this long, I'd have taken better care of myself:Antioxidants and micronutrients in CF",Yes,No,No,No,No
80,What Goes On,The Practice of Child Neuropsychology in Spanish-speaking Countries: What We've Learned and Where to Go from Here,No,No,No,No,No
81,The Inner Light,Some light at last on inner city policy (UK).,No,No,No,No,No
82,All You Need Is Love,"All you need is [somebody's] love ""third-party reproduction"" and the existential density of biological affinity",No,Yes,Yes,Yes,Yes
83,With a Little Help from My Friends,'With a little help from my academic friend': Mentoring change agents,Yes,Yes,Yes,Yes,Yes
84,All You Need Is Love,"If you need love, get a Puppy: A case study on professional skepticism and auditor independence",Yes,No,No,No,No
85,Dig It,"Dig yourself out of the data crater - Database security isn't new, so why can't we get it right?",Yes,No,No,No,No
86,Dig It,'It's better to dig than dance': Archaeological method and theory in ANTIQUITY 1927 - 2002,Yes,No,No,No,No
87,From Me to You,"Vancouver, I Love You, but You're Bringing Me Down (Part Two)",Yes,No,No,No,No
88,Think for Yourself,"The Higher You Think of Yourself, the Harder You Fall: Overconfidence as a Distinct, Mutable Predictor of Fake News Vulnerability",Yes,No,No,No,No
89,I Want You (She's So Heavy),You Say I Want a Revolution,Yes,No,Yes,No,No
90,"Hello, Goodbye",You Have to Say Hello Before You Can Say Goodbye,Yes,Yes,No,Yes,Yes
91,Revolution 9,"Jubilee scientific session of the Scientific Institute of Internal Diseases, Medical Academy, on the 70th anniversary of the Great October Socialist Revolution. Sofia, October 9, 1987. Proceedings",No,No,No,No,No
92,Do You Want to Know a Secret,Do You Want to Know a Trade Secret? How Article 2B Will Make Licensing Trade Secrets Easier (But Innovation More Difficult),Yes,Yes,Yes,Yes,Yes
93,All You Need Is Love,All You Need is LUV,Yes,Yes,Yes,Yes,Yes
94,Good Morning Good Morning,"Birth giving, the body, and the racialized other in jean rhys's voyage in the dark and good morning, midnight",No,No,No,No,No
95,You Can't Do That,"Viewpoint: I can't let you do that, dave",Yes,No,No,No,No
96,"Hello, Goodbye","I don't know why you say goodbye, i say hello (on taking both the visual and the political seriously)",Yes,Yes,Yes,Yes,Yes
97,All You Need Is Love,Versioned queries over RDF archives: All you need is SPARQL?,No,Yes,Yes,Yes,Yes
98,"Hello, Goodbye","Say hello, wave goodbye",Yes,No,No,Yes,No
99,In My Life,'I just want to get on with my life': A mixed-methods study of active management of quality of life in living with dementia,No,No,No,No,No
100,I Me Mine,For me I see MINE to be a family sickness-consumers understanding and perception of the etiology of mental illness in community-based residential facilities in Ghana,Yes,No,No,No,No
101,The Long and Winding Road,Revisiting the connection between intramyocellular lipids and insulin resistance: A long and winding road,No,Yes,Yes,Yes,Yes
102,Norwegian Wood (This Bird Has Flown),Bird-flu: Flown the coop,Yes,No,No,No,No
103,With a Little Help from My Friends,Without a little help from 'my' friends: Direct insertion of proteins into chloroplast membranes?,Yes,Yes,No,No,No
104,Get Back,Winding Back the Clock on Advanced Therapies: It's Time to Get Smart,No,No,No,No,No
105,No Reply,"Please, no more naked predicates: A reply",No,No,No,No,No
106,In My Life,My previous life in drag,No,No,No,No,No
107,Getting Better,Here we go round the review-go-round: Rape investigation and prosecution-are things getting worse not better?,Yes,No,No,No,No
108,"Hello, Goodbye","Goodbye Substantial Factor, Hello Doull v. Foster!",Yes,No,No,Yes,No
109,Yellow Submarine,"Submarine groundwater discharge enhances primary productivity in the Yellow Sea, China: Insight from the separation of fresh and recirculated components",No,No,No,No,No
110,She Said She Said,murder!r she said: A case of iatrogenic delirium,Yes,No,No,No,No
111,Across the Universe,Across the (Psychiatric) universe,Yes,Yes,Yes,Yes,Yes
112,"Here, There and Everywhere","The ""OB Curse"": Locating OB Concepts Everywhere",No,No,No,No,No
113,Ticket to Ride,Taking a ticket a ride in strid,Yes,No,No,Yes,No
114,With a Little Help from My Friends,Commentary: With a little help from my enteric microbial friends,No,Yes,Yes,Yes,Yes
115,Think for Yourself,Think yourself to the top [12],No,No,No,No,No
116,"Hello, Goodbye","It's ""Goodbye"" from me and ""Hello"" from him",Yes,No,No,Yes,No
117,All You Need Is Love,Reviving the killers: All you need is IL-2,Yes,Yes,Yes,Yes,Yes
118,In My Life,'Do you really want to hear about my life?': doing 'feminist research' with women in sex work in Eastern India,No,No,No,No,No
119,Yes It Is,"Yes it's because of the climate change but what does it mean climate?. Discussion about the temporality of climate change in Ma'uke, Cook",No,No,No,No,No
120,She Said She Said,"She said, he said: Denise scott brown and kenneth frampton on popular taste",No,Yes,Yes,Yes,Yes
121,All You Need Is Love,"The aging workplace - It's not just ergonomics or will you still need me, will you still love me, when I'm 64?",Yes,Yes,Yes,No,Yes
122,Revolution 9,"Cancer nursing: a revolution in care. Fifth International Conference on Cancer Nursing, London, England, 4-9 September 1988",No,No,No,No,No
123,I Need You,Do I need a statin? All the talk about statins may have you wondering if you should be taking one. It all depends on your level of risk.,No,No,No,No,No
124,Yes It Is,"Bi-parametric prostate MRI before biopsy: Yes, but only if you deserve it",No,No,No,No,No
125,You Can't Do That,Why can't you do that hal? Explaining unsolvability of planning tasks,Yes,No,No,No,No
126,What Goes On,Where is the Top and What Might Go Down?,No,No,No,No,No
127,You Can't Do That,"Readymade sadness; or, Te voici; or, the work of whimsy in the age of mechanical reproduction; or, I can't do without you (Remix) (Remix)",Yes,No,No,No,No
128,With a Little Help from My Friends,Metagenomics: With a little help from my phage friends.,Yes,Yes,Yes,Yes,Yes
129,The Night Before,Staggered HDR video reconstruction with a real-world benchmark dataset for night scenes,No,No,No,No,No
130,Little Child,Our children cycle less - A Danish pseudo-panel analysis,No,No,No,No,No
131,All Together Now,"Come Together, Right Now? An Empirical Study of Collaborations in the Music Industry",Yes,No,Yes,No,No
132,For You Blue,Bringing blue to a plate near you,Yes,No,No,No,No
133,A Day in the Life,Effect of heat stress in the first 1000 days of life on fetal and infant growth: a secondary analysis of the ENID randomised controlled trial,No,No,Yes,No,No
134,We Can Work It Out,Can Wii<sup></sup> work it out?,Yes,Yes,Yes,Yes,Yes
135,What Goes On,A systematic review of past decade of mobile learning: What we learned and where to go,No,No,No,No,No
136,What Goes On,Where Do We Go from Here? Comments from the Research Team: How Can You Apply What We Learned to Your Own After-School Reading Program?,No,No,No,No,No
137,Yellow Submarine,The geomorphological features and forming factors of submarine relief in the Pohai Sea and the Yellow Sea ( China).,No,No,No,No,No
138,Sun King,"Will ""Sun""-WUKONG, the monkey king, conquer EGFR exon 20 insertion mutation positive non-small cell lung cancer?",No,No,No,No,No
139,"Hello, Goodbye","Goodbye 2020, hello 2021!",No,No,No,Yes,No
140,You Can't Do That,"Editorial Commentary: Patient-Reported Outcomes Measurement Information System (PROMIS) Has Decreased Disease-Specific Responsiveness More Than Legacy Outcome Measures, But PROMIS and Legacy Measures Do Correlate: You Can't Have Your Cake and Eat It Too",Yes,No,No,No,No
141,With a Little Help from My Friends,Sex pheromones: Made with a little help from my (bacterial) friends,Yes,Yes,Yes,Yes,Yes
142,With a Little Help from My Friends,Tumor biology: With a little help from my dying friends,Yes,Yes,Yes,Yes,Yes
143,Yellow Submarine,"Natural <sup>222</sup>Rn and <sup>220</sup>Rn indicate the impact of the Water-Sediment Regulation Scheme (WSRS) on submarine groundwater discharge in the Yellow River estuary, China",No,No,No,No,No
144,All You Need Is Love,All You Need is LUV: Unsupervised Collection of Labeled Images Using UV-Fluorescent Markings,Yes,Yes,Yes,Yes,Yes
145,The Long and Winding Road,Long and winding roads: Testis differentiation in zebrafish,No,Yes,Yes,Yes,Yes
146,Love You To,"Mummy, I love you like a thousand ladybirds: Reflections on the emergence of hyperbolic effects and the truth of hyperboles",No,No,Yes,No,No
147,She's a Woman,'She's a whole lotta woman': Pam Grier's star image in Jackie Brown (1997),Yes,No,No,No,No
148,I'm Down,Care in the Community Award. I'm gonna sit right down and....,Yes,No,No,No,No
149,Magical Mystery Tour,This mystery tour is not magical--it's downright tragic.,Yes,Yes,Yes,Yes,Yes
150,All You Need Is Love,All you need is not love: Are we really hard-wired to feel other people' s pain?,Yes,Yes,Yes,Yes,Yes
151,The Night Before,Post-flowering high night-time temperature stress impacts physiology and starch metabolism in field-grown maize,No,No,No,No,No
152,Norwegian Wood (This Bird Has Flown),Bird flu has flown,Yes,Yes,Yes,Yes,Yes
153,Any Time at All,Obstacle Avoidance of Surface Agent Formation Based on Streamline Traction at Fixed-Time,No,No,No,No,No
154,Nowhere Man,"From Nowhere: Space, Race, and Time in How Young Minority Men Understand Encounters with Gangs",No,No,No,No,No
155,This Boy,"Adolescent boys, young men, and mental health in Southern Africa",No,No,No,No,No
156,"Hello, Goodbye","Goodbye Sex Therapy, Hello Undergoing My Own Transformation",No,No,No,Yes,No
157,A Day in the Life,"A broken silence? Mass Observation, Armistice Day and 'everyday life' in Britain 1937-1941",No,No,No,No,No
158,With a Little Help from My Friends,The role of derivational morphology in vocabulary acquisition: Get by with a little help from my morpheme friends,Yes,Yes,Yes,Yes,Yes
159,The Long and Winding Road,ESA's long and winding road,No,Yes,Yes,Yes,Yes
160,Getting Better,Getting to Know Ed Better,Yes,No,No,No,No
161,There's a Place,Is there an optimal place for holding the tracheal tube during intubation? A proof-of-concept randomised clinical trial,No,No,No,No,No
162,In My Life,The impacts of the Cesgranrio Foundation's Professional Master's Degree in Assessment on my professional life in the Brazilian Air Force,No,No,No,No,No
163,Don't Bother Me,What Bothers Me Most Is the Disparity between the Choices that People Have or Don't Have: A Qualitative Study on the Health Systems Responsiveness to Implementing the Assisted Decision-Making (Capacity) Act in Ireland,Yes,No,No,No,No
164,Please Please Me,"Gut microbiota in pregnancy, please don't change me now",Yes,No,No,No,No
165,You Can't Do That,You Can't Do This to Disney! Popular Medievalisms in the Classroom,Yes,No,No,No,No
166,I Need You,"Life Sux Severely or Hey, I really need you",Yes,No,No,No,No
167,A Day in the Life,Day in the life of an industrial hearing conservationist: A template for successful career education and outreach presentations,No,No,No,Yes,No
168,For No One,The World Will End and No One Can Save Us: A Case Series of COVID-Related Exacerbation of Psychosis During the COVID-19 Pandemic,No,No,No,No,No
169,Good Night,First night effects in good sleepers and sleep-maintenance insomniacs when recorded at home,No,No,No,No,No
170,Don't Let Me Down,"Resistance and the permanent instability of educational neoliberalism: 'Up, down, turn around, please don't let me hit the ground'",Yes,No,No,No,No
171,Within You Without You,All You Need Is SPACE: When Jailbreaking Meets Bias Audit and Reveals What Lies Beneath the Guardrails,Yes,Yes,Yes,Yes,Yes
172,Good Morning Good Morning,"Good morning, Mrs.Jones -interviewing the institutionalized geriatric patient",No,No,No,No,No
173,Any Time at All,Multivariate Joint Analysis of Blood Pressure Measurements and Time to Remission: A Case Study of Hypertensive Patients Receiving Treatment at Jimma University Medical Center,No,No,No,No,No
174,Get Back,Got to get ourselves back to the garden: Sustainability transformations and the power of positive environmental communication,Yes,No,No,No,No
175,Revolution 9,"Rated X: Apple's new operating system aims to score a perfect 10, but for some, revolution no. 9 was change enough",Yes,Yes,No,Yes,Yes
176,You Can't Do That,Conflict: how to avoid it and what to do when you can't.,No,No,No,No,No
177,All You Need Is Love,Some Might Say All You Need Is Sum,Yes,Yes,Yes,Yes,Yes
178,I'll Get You,I'll burn this bridge when you get here,Yes,No,No,No,No
179,"Here, There and Everywhere",Kidney Health for Everyone Everywhere: From Prevention to Detection and Equitable Access to Care,No,No,No,No,No
180,All Together Now,"Come together, right now - How the songs of the beatles helped our product owners and teams live in harmony",Yes,No,Yes,No,No
181,All Together Now,PSRO: will pharmacy and medicine now work together?,No,No,No,No,No
182,With a Little Help from My Friends,I get by with a little help from my 750-dollar-per-tablet friends: A model act for states to prevent dramatic pharmaceutical price increases,Yes,Yes,No,Yes,Yes
183,In My Life,"'A journal of my feelings, mind &amp; Body': Narratives of ageing in the life writing of Mary Berry (1763-1852)",No,No,Yes,No,No
184,From Me to You,"'Wait..., let me tell you, if I worked for a boss, I would be on sick leave': A Qualitative Study of Self-Employed Workers in Physically Demanding Jobs in the Netherlands",No,No,No,No,No
185,With a Little Help from My Friends,Microbiome: With a little help from my phage friends,Yes,Yes,Yes,Yes,Yes
186,Little Child,Real-world treatment outcomes of systemic treatments for moderate-to-severe atopic dermatitis in children aged less than 12 years: 2-year results from PEDIatric STudy in Atopic Dermatitis,No,No,No,No,No
187,Love You To,"Tough love: So who are you calling ""pro-Israel""?",No,No,No,No,No
188,Lady Madonna,The spread of the cult of Our Lady of the Pillar in the Mediterranean area: A Trapani coral capezzale in Malta,No,No,No,No,No
189,You Can't Do That,"If You Can't Do the Time, Don't Commit the Crime: BILL C-45",Yes,No,No,No,No
190,Every Little Thing,Perioperative myocardial infarction: Every efficient little things you need to know,Yes,No,No,Yes,No
191,Run for Your Life,"A host-pathogen coevolution model, Part I: Run straight for your life",Yes,No,No,No,No
192,She Said She Said,That's what she said: Double entendre identification,No,No,No,No,No
193,Good Morning Good Morning,Spot sputum samples are at least as good as early morning samples for identifying Mycobacterium tuberculosis,No,No,No,No,No
194,I Want You (She's So Heavy),Make of this Whatever You Want: Violence and Intimacy in Zoe Strauss's I-95 Project,No,No,No,No,No
195,From Me to You,I Built a Better Mousetrap. What? You Want Me to Prove It?,No,No,No,No,No
196,Everybody's Got Something to Hide Except Me and My Monkey,Everybody's Got Something To Hide Except Me and My NFT's Monkey - An Analysis of the European Commission's DAC8 Proposal on Automatic Exchange of Cryptoasset Information,Yes,Yes,Yes,Yes,Yes
197,The Night Before,A night at the opera: Fusions and tensions between modernism and postmodernism,No,No,No,No,No
198,For No One,No evidence of three herbicides and one surfactant impacting biological soil crusts,No,No,No,No,No
199,You Can't Do That,You can't do this job when you are sober: Heroin use among female sex workers and the need for comprehensive drug treatment programming in Kenya,Yes,No,No,No,No
200,Another Girl,The Millennium series and the Girl with the Dragon Tattoo - Featuring yet another criminal psychiatrist: A screenplay psychiatrists should be aware of,No,No,No,No,No
201,I'm Looking Through You,"Beyond the Minimum New Rule Requires Web Content (I'm Looking at You, LibGuides) to Meet WCAG 2.1 Level AA Standards",Yes,No,No,No,No
202,All You Need Is Love,Positioning the cleavage furrow: All you need is Rho,Yes,Yes,Yes,Yes,Yes
203,I Need You,"What You Need, Baby, I Got It: Transposable Elements as Suppliers of Cis-Operating Sequences in Drosophila",Yes,No,No,No,No
204,Little Child,Growth monitoring and promotion service utilization and its associated factors among children less than two years in Ethiopia: A systematic review and meta-analysis,No,No,No,No,No
205,No Reply,Reply to: intensive care unit-to-unit capacity transfers are associated with increased mortality-no hasty conclusions in the event of a crisis,No,No,No,No,No
206,She's a Woman,"He's skilled, she's lucky: A meta-analysis of observers' attributions for women's and men's successes and failures",No,No,No,No,No
207,No Reply,In Reply to 'Effect of Hemofiltration on Mortality: No Definite Answer Yet',No,No,No,No,No
208,From Me to You,"Tanizaki's The Key in Translation: Will You Still Need Me, Will You Still Read Me, When I'm (Over) Sixty-Four?",Yes,Yes,Yes,No,Yes
209,All You Need Is Love,All you need is cash: Skewering a legend with the prefab four,Yes,Yes,Yes,Yes,Yes
210,Mother Nature's Son,Sons of mother nature,Yes,No,Yes,No,No
211,All You Need Is Love,"Although It Helps, Love Is Not All You Need: How Caryl Rusbult Made Me Discover What Relationships Are All About",Yes,Yes,Yes,Yes,Yes
212,What Goes On,Cyberbullying Experiences Among Marginalized Youth: What Do We Know and Where Do We Go Next?,No,No,No,No,No
213,"Hello, Goodbye","They say goodbye, we say hello: understanding the relational phases of equity-minded STEMM graduate-undergraduate mentorship",Yes,Yes,Yes,Yes,Yes
214,All You Need Is Love,All You Need is Sex for Diversity,Yes,Yes,Yes,Yes,Yes
215,Little Child,Do Children with Autism Spectrum Disorders Eat Differently and Less Adequately than Those with Subclinical ASD and Typical Development? EPINED Epidemiological Study,No,No,No,No,No
216,Nowhere Man,All dressed up with nowhere to go: Transitions to (un)employment for lower middle class young men,Yes,No,No,No,No
217,All You Need Is Love,All we need is love! (Someone who likes beer as much as you?),Yes,Yes,Yes,Yes,Yes
218,From Me to You,"It's not you, It's me: Can others learn from the challenges of teaching operations and supply chain management?",No,No,No,No,No
219,You Can't Do That,You can't do it all! Using student leaders to manage the team,No,No,No,No,No
220,I'll Get You,I'll git the milk time you bile the kittle do you oon't get no tea yit no coffee more oon't I: Phonetic erosion and grammaticalisation in East Anglian conjunction-formation,Yes,No,No,No,No
221,She's a Woman,"She's a Gold-Digger, Bad Mom, and Drug-Using Floozy: Women's Rivalry Gets ""Dirty""",Yes,No,No,No,No
222,Yes It Is,"First person on the last page: Yes, the hokey pokey is what it's all about!",No,No,No,No,No
223,I Want You (She's So Heavy),You can ask me if you really want to know what i think,No,No,No,No,No
224,The Long and Winding Road,The long winding road towards certification in neuroendovascular surgery,No,Yes,Yes,Yes,Yes
225,"Hello, Goodbye",It's hello from her and goodbye from him,Yes,No,No,Yes,No
226,The Night Before,Agreement of multiple night- and daytime filtering approaches of eddy covariance-derived net ecosystem CO<inf>2</inf> exchange over a mountain forest,No,No,No,No,No
227,All You Need Is Love,Love is not all you need: A revolutionary approach to parental abuse,Yes,Yes,Yes,Yes,Yes
228,With a Little Help from My Friends,"With a little help from my (online?) friends - A comparison of support seeking, receiving and providing support in online and offline communities",Yes,Yes,Yes,Yes,Yes
229,The Inner Light,Novel optical lens design with a light scattering freeform inner surface for LED down light illumination,No,No,No,No,No
230,What Goes On,"An Overview of Probabilistic Safety Assessment for Nuclear Safety: What Has Been Done, and Where Do We Go from Here?",No,No,No,No,No
231,With a Little Help from My Friends,I get by with a little help from my cyber-friends: Sharing stories of good and bad times on the web,Yes,Yes,Yes,Yes,Yes
232,A Day in the Life,Relationship of head circumference to length in the first 400 days of life: A mnemonic,No,No,No,No,No
233,Any Time at All,Projective and Carrollian geometry at time/space-like infinity on projectively compact Ricci flat Einstein manifolds,No,No,No,No,No
234,Little Child,The proxy determinant of complementary feeding of the breastfed child delivery in less than 6 months old infant in the fishing community of Buton tribe,No,No,No,No,No
235,Good Night,Actigraphic multi-night home-recorded sleep estimates reveal three types of sleep misperception in Insomnia Disorder and good sleepers,No,No,No,No,No
236,When I Get Home,I WANNA GET BACK HOME: Performing a populist Austrian homeland in popular music,Yes,No,No,No,No
237,With a Little Help from My Friends,With(out) a little help from my friends: An IL-12/CD40L-mediated feed-forward loop between CD8<sup>+</sup> T cells and DCs,Yes,Yes,Yes,Yes,Yes
238,Let It Be,There will be an answer; let it bleed,Yes,Yes,Yes,Yes,Yes
239,Within You Without You,You sure she's not making this up?: A qualitative investigation of stigma toward adults with borderline personality disorder in physical healthcare settings,No,No,No,No,No
